Yes/No,Site,Site Code,City,Country/Region,State/Province,ZIP/Postal Code,3 Digit Zip
,IGT  DCA BLDG. D-BREAKROOM,0010478503,AUSTIN,USA,TX,78754,787
,IGT  SALES WAREHOUSE,0010478504,AUSTIN,USA,TX,78754,787
,IGT ATC OCS-EAST BREAKROOM,0010478502,AUSTIN,USA,TX,78727,787
,IGT MAIN BREAKROOM OCS,0010479501,AUSTIN,USA,TX,78754,787
,IHS INSURANCE SERVICES,0010480210,BENBROOK,USA,TX,76126,761
,IIR CORPORATE -  SLS & MKTING,0070310041,PFLUGERVILLE,USA,TX,78660,786
,IKEA BAYTOWN - JANITORIAL,0059597003,BAYTOWN,USA,TX,77523,775
,IKO INDUSTRIES,0010480335,HILLSBORO,USA,TX,76645,766
,IMG,0010479652,IRVING,USA,TX,75038,750
,IMPACT PROMOTIONAL SERVICES LL,0010480161,FORT WORTH,USA,TX,76102,761
,IMPERIAL BUILDING SERVICES,0010479601,CARROLLTON,USA,TX,75006,750
,IMPERIAL VISION-1909,0084372001,HOUSTON,USA,TX,77007,770
,IMPULSE FISHING RODS-20555 FM-,0019168001,MAGNOLIA,USA,TX,77355,773
,IN & OUT #3-16640 KIETH HARROW,0019169001,HOUSTON,USA,TX,77084,770
,IN N OUT LUBE,0010480184,FORT WORTH,USA,TX,76110,761
,INCARNATE WORD - CAMPUS DINING,0021082001,SAN ANTONIO,USA,TX,78209,782
,INCARNATE WORD - LUCIANO'S,0021082013,SAN ANTONIO,USA,TX,78209,782
,INCARNATE WORD UNV-HORTENCIA'S,0021082003,SAN ANTONIO,USA,TX,78209,782
,INCARNATE WORD-JAVA ON THE HIL,0021082007,SAN ANTONIO,USA,TX,78209,782
,INDEPENDENCE FOOD CENTER-9400,0019171001,BRENHAM,USA,TX,77833,778
,INDEPENDENT PAPERBOARD,0010480544,BEDFORD,USA,TX,76021,760
,INDIAS RESTAURANT-5704 RICHMON,0019173001,HOUSTON,USA,TX,77057,770
,INDUSTRIAL OILS UNLIMITED LLC,0010479419,MIDLAND,USA,TX,79706,797
,INEOS OLEFINS & POLYMERS USA,0010480671,SEMINOLE,USA,TX,79360,793
,INFINITY INSURANCE COMPANY-900,0019174001,MCALLEN,USA,TX,78501,785
,INN STYLE T SHIRTS,0010479922,DALLAS,USA,TX,75229,752
,INNO-PAK-10235 W LITTLE YORK R,0019175001,HOUSTON,USA,TX,77040,770
,INNOSPEC OILFIELD SERVICES-472,0019176001,PLEASANTON,USA,TX,78064,780
,INNOVA PSYCHIATRIC GRP,0010479742,MCKINNEY,USA,TX,75069,750
,INREACH BUS DEV - LYTLE,0070313010,ALEDO,USA,TX,76008,760
,INREACH MAGIC ALLOCATION,0070313052,SAN ANTONIO,USA,TX,78257,782
,INREACH OPERATIONS - PODELL,0070304855,MABANK,USA,TX,75156,751
,INSIDE DEVELOPMENT,0070304785,IRVING,USA,TX,75039,750
